client_id,full_name,email_address,email_permission
11662,Knox Cooper,ut@Etiamligula.com,0
85833,Xanthus Sanders,porttitor.interdum@elitdictum.edu,1
20715,Russell Foreman,augue@tellusid.org,1
32677,Ivor Gibbs,ipsum.porta@seddolorFusce.org,0
99216,Jacob Dillard,magnis@elementumsemvitae.ca,1
65723,Allen Lynch,In@amet.edu,1
38398,Daniel Wiggins,Phasellus@ligulaelit.org,1
24023,Malcolm Rodriquez,ac@sagittis.com,0
97705,Aquila Wagner,Fusce.dolor.quam@CraspellentesqueSed.edu,1
55414,Nehru Mills,nibh.dolor@molestie.org,0
19251,Cedric Gibbs,risus.Donec.egestas@eteuismodet.edu,1
90898,Fulton Leon,ipsum.cursus@pede.edu,1
92773,Timothy Moran,luctus.felis@cubiliaCurae;Donec.ca,1
07424,Hall Dean,ullamcorper@viverra.ca,0
29544,Jackson Merrill,urna@congueaaliquet.ca,0
66252,Colin Curry,adipiscing.non.luctus@vitaeodio.org,1
47632,Ryder Flowers,augue.Sed.molestie@semconsequatnec.ca,0
48232,Tate Watkins,nisl.Maecenas@faucibus.org,1
12082,Jackson Morgan,commodo.tincidunt.nibh@semmagnanec.edu,1
99880,Ethan Mcmillan,amet@CraspellentesqueSed.org,0
57116,Drew Haley,eros.turpis@Duisgravida.ca,0
06123,Alec Chang,eu@eleifend.com,0
23587,Aaron Mendez,a.dui.Cras@consequat.com,1
30115,Bruce Rush,lacus.Aliquam@mus.org,0
46890,Austin Durham,id.enim@tellusnonmagna.org,1
68017,Ferris Duffy,lorem.ipsum.sodales@feugiatLoremipsum.com,0
33087,Jerome Lewis,felis.orci@anteblandit.org,0
57705,Hasad Thomas,non.justo@diamnunc.ca,0
46470,Reed Brewer,ante@sapiencursusin.edu,0
08079,Lionel Holmes,luctus.et.ultrices@Phasellus.org,1
72567,Yasir Ferrell,ridiculus@semper.ca,0
66980,Yasir Padilla,vel@nisinibhlacinia.edu,0
41507,Gannon Garza,urna@at.com,0
96379,Amos Graham,nibh.dolor.nonummy@nuncac.org,0
63177,Kasper Ware,Phasellus.elit@arcuVestibulumante.ca,0
70303,Declan Osborn,urna.Ut.tincidunt@vitaediamProin.com,1
77531,Chaim Nunez,Morbi@volutpatNulla.ca,1
46446,Dale Kidd,sollicitudin.adipiscing.ligula@intempuseu.edu,1
26363,Alden Hall,volutpat.Nulla.dignissim@quamquis.edu,1
04792,Craig Mccarty,lobortis.ultrices.Vivamus@laoreet.edu,0
30336,Kieran Atkinson,urna.suscipit.nonummy@aarcu.org,0
31240,Edan Stuart,tincidunt.tempus.risus@libero.ca,1
60882,Cedric Wallace,Donec.nibh@Praesenteu.org,0
38490,Rahim Camacho,felis.Nulla@auctor.edu,1
92980,Lamar Tate,ac.mattis.semper@sapien.com,1
69814,Colby Beard,risus.In.mi@Vivamus.com,1
84294,Carl Chapman,accumsan@ac.ca,0
40386,Yardley Schroeder,quis.turpis@scelerisque.edu,0
