client_id,email_address,email_permission
11662,ut@Etiamligula.com,N
85833,porttitor.interdum@elitdictum.edu,Y
20715,augue@tellusid.org,Y
32677,ipsum.porta@seddolorFusce.org,N
99216,magnis@elementumsemvitae.ca,Y
65723,In@amet.edu,Y
38398,Phasellus@ligulaelit.org,Y
24023,ac@sagittis.com,N
97705,Fusce.dolor.quam@CraspellentesqueSed.edu,Y
55414,nibh.dolor@molestie.org,N
19251,risus.Donec.egestas@eteuismodet.edu,Y
90898,ipsum.cursus@pede.edu,Y
92773,luctus.felis@cubiliaCurae;Donec.ca,Y
07424,ullamcorper@viverra.ca,N
29544,urna@congueaaliquet.ca,N
66252,adipiscing.non.luctus@vitaeodio.org,Y
47632,augue.Sed.molestie@semconsequatnec.ca,N
48232,nisl.Maecenas@faucibus.org,Y
12082,commodo.tincidunt.nibh@semmagnanec.edu,Y
99880,amet@CraspellentesqueSed.org,N
57116,eros.turpis@Duisgravida.ca,N
06123,eu@eleifend.com,N
23587,a.dui.Cras@consequat.com,Y
30115,lacus.Aliquam@mus.org,N
46890,id.enim@tellusnonmagna.org,Y
68017,lorem.ipsum.sodales@feugiatLoremipsum.com,N
33087,felis.orci@anteblandit.org,N
57705,non.justo@diamnunc.ca,N
46470,ante@sapiencursusin.edu,N
08079,luctus.et.ultrices@Phasellus.org,Y
72567,ridiculus@semper.ca,N
66980,vel@nisinibhlacinia.edu,N
41507,urna@at.com,N
96379,nibh.dolor.nonummy@nuncac.org,N
63177,Phasellus.elit@arcuVestibulumante.ca,N
70303,urna.Ut.tincidunt@vitaediamProin.com,Y
77531,Morbi@volutpatNulla.ca,Y
46446,sollicitudin.adipiscing.ligula@intempuseu.edu,Y
26363,volutpat.Nulla.dignissim@quamquis.edu,Y
04792,lobortis.ultrices.Vivamus@laoreet.edu,N
30336,urna.suscipit.nonummy@aarcu.org,N
31240,tincidunt.tempus.risus@libero.ca,Y
60882,Donec.nibh@Praesenteu.org,N
38490,felis.Nulla@auctor.edu,Y
92980,ac.mattis.semper@sapien.com,Y
69814,risus.In.mi@Vivamus.com,Y
84294,accumsan@ac.ca,N
40386,quis.turpis@scelerisque.edu,N
93828,in@sociosqu.ca,Y
21413,Morbi.quis.urna@lacusEtiambibendum.org,N
88000,eget.volutpat.ornare@metus.edu,N
32627,vestibulum@enimNuncut.edu,N
80033,nec.ante@dui.com,N
75789,porttitor.scelerisque@Crasvehiculaaliquet.ca,N
45360,nec@elitCurabitursed.org,N
98828,placerat.Cras@urnaNuncquis.org,N
16798,metus@ornarelectus.com,Y
73547,aliquet.Phasellus@egestas.org,Y
83456,quis.massa@Quisque.ca,N
23569,orci.consectetuer@morbitristiquesenectus.ca,N
80647,Ut@vellectus.edu,Y
12304,nec@euarcu.com,Y
01995,primis@dignissimmagnaa.edu,Y
64582,Cras.dolor@Sedmolestie.edu,Y
53992,quam@Nullaeget.ca,Y
24423,amet.consectetuer.adipiscing@eu.edu,Y
17813,euismod@Maecenasliberoest.com,N
09086,dolor@vitaeodiosagittis.com,Y
13020,ullamcorper.viverra.Maecenas@metus.ca,Y
77707,ligula.elit.pretium@luctusut.ca,Y
85721,sagittis@lobortisquam.edu,Y
74969,Morbi.quis.urna@tellus.org,N
03299,diam.vel.arcu@magnatellus.edu,Y
77182,magnis@erat.ca,N
50520,mauris.blandit@Curabituregestas.edu,N
97805,est.Mauris.eu@tincidunt.org,N
19109,gravida.mauris@et.org,N
50062,nibh@egettinciduntdui.ca,Y
00363,nec.tempus@adipiscinglobortis.org,Y
16971,Phasellus@euismodmauriseu.org,N
35622,Sed.diam@elitAliquam.ca,N
44294,non.nisi@felisadipiscingfringilla.ca,Y
18178,dis.parturient@urnasuscipit.ca,N
54054,aliquam.enim@dolorQuisque.edu,Y
18898,eu@estac.ca,N
13304,Ut.sagittis@mifelisadipiscing.org,Y
49558,metus.urna@non.com,N
29710,hendrerit.a@afelisullamcorper.com,N
83338,ornare.Fusce@Donec.org,Y
78410,auctor.nunc.nulla@ultrices.com,Y
62915,Sed.dictum.Proin@egetmagna.com,Y
86854,Suspendisse.ac.metus@duiFusce.ca,N
29044,ipsum.porta@cursus.com,N
26874,per@interdumNuncsollicitudin.org,Y
60043,vitae.risus@accumsansedfacilisis.com,N
87510,gravida.molestie.arcu@Donec.ca,Y
86452,tellus.justo@etmagnisdis.edu,N
49392,bibendum.sed.est@malesuadaIntegerid.edu,Y
04299,montes.nascetur@rutrumurnanec.com,N
12915,placerat.velit.Quisque@sem.edu,N
58685,vel.lectus.Cum@posuere.com,Y
61084,velit.Cras@atfringillapurus.com,Y
15736,enim@ipsumdolorsit.com,Y
64490,risus@Maecenaslibero.edu,Y
47873,odio@vitaeeratVivamus.org,N
42288,neque@dui.edu,N
36546,magna.Suspendisse@sagittislobortis.ca,Y
89932,dictum.placerat@Phasellusdolor.org,Y
38132,lorem.Donec.elementum@ametultriciessem.edu,N
