first_name,last_name,title,address_1,address_2,address_3,postcode,phone_work,phone_mobile,fax,company,department,datamine_bdm,retail_watch_flag
Hasad,Morales,,862-4346 Pellentesque St.,Murray,Florida,O8B 1O7,29 658 2163-6180,83 523 8074-2628,52 900 1066-8775,Adobe,Research and Development,Eugenia,0
Gareth,Sanchez,Dr,977-5147 Sagittis Street,Hollywood,Ohio,M4Q 5K1,58 933 8273-8162,90 142 4378-0805,37 168 6588-8716,Lycos,Asset Management,Austin,1
Quinlan,Pennington,Dr,P.O. Box 195 4755 Sed Ave,Laughlin,District of Columbia,P3W 1A5,20 937 3093-6034,82 320 4348-4910,30 235 3356-1761,Sibelius,Quality Assurance,Jada,0
Shad,Mayer,,7250 Vitae Av.,Lower Burrell,Washington,I5N 6M7,96 439 3356-8700,66 473 2616-5098,54 592 4668-5810,Altavista,Media Relations,Emily,0
Aaron,Fulton,Dr,P.O. Box 420 5653 Libero Road,Hawaiian Gardens,Maine,B8B 3N1,47 798 6069-8938,31 835 8702-0201,11 553 9208-1688,Sibelius,Asset Management,Venus,1
Keegan,Reyes,Mr,6731 Tempor Street,Hickory,Indiana,N3T 9O7,59 718 2160-2399,86 312 6099-3098,47 884 3814-6363,Apple Systems,Asset Management,Aileen,0
Brian,Gilmore,Mr,5011 Morbi St.,Carrollton,Arkansas,V9P 6C8,30 578 9792-8422,66 166 3513-5374,33 942 3570-4683,Finale,Media Relations,Logan,0
Marvin,Whitehead,,P.O. Box 281 5836 Consectetuer Ave,Davis,Idaho,U7B 9S4,49 296 2789-5432,48 624 7409-6144,95 469 8617-2341,Chami,Customer Service,Melodie,0
Charles,Schultz,,595-6109 Sed St.,Geneva,Texas,P7O 1X6,80 217 7113-8830,67 317 8641-5001,76 252 1531-3025,Apple Systems,Media Relations,Ursa,1
Ulric,Horn,Mr,784-4783 A Avenue,Richland,Texas,P5L 8F9,36 185 3310-0079,59 139 3030-9105,65 484 7445-0892,Borland,Advertising,Asher,1
Devin,Fuentes,,P.O. Box 563 7375 Eget St.,Egg Harbor,Ohio,Y1X 1A3,86 391 7716-1134,59 711 9681-3073,16 419 3721-8990,Sibelius,Payroll,Uriel,1
Xander,Walton,,899-3564 Vitae Road,Medford,South Carolina,J5U 3O7,67 420 1108-2961,91 204 6981-7371,85 533 1073-1741,Adobe,Finances,Georgia,0
Eaton,Lamb,Mr,7483 Ornare St.,Kahului,Alaska,T1C 7Y1,49 164 2104-5876,22 419 4178-1618,72 664 9645-0670,Lycos,Customer Relations,Ila,0
